Date,Sektoral,monthly_return
2020/02,Aneka Industri,0.0
2020/03,Aneka Industri,-25.884732052578364
2020/02,Ind.Brg2 Konsumsi,0.0
2020/03,Ind.Brg2 Konsumsi,-4.81927710843374
2020/02,Industri Dasar,0.0
2020/03,Industri Dasar,-23.583662714097496
2020/02,Infrastruktur,0.0
2020/03,Infrastruktur,-15.882967607105536
2020/02,Keuangan,0.0
2020/03,Keuangan,-20.736589271417138
2020/02,Perdagangan dan Jasa,0.0
2020/03,Perdagangan dan Jasa,-10.283159463487335
2020/02,Pertambangan,0.0
2020/03,Pertambangan,-11.575802837938765
2020/02,Pertanian,0.0
2020/03,Pertanian,-19.79256698357822
2020/02,Properti,0.0
2020/03,Properti,-20.843091334894616
